,color,command,deleted,from,message,room,timestamp,video-offset,badges,bits,color,display-name,emotes,id,login,mod,msg-id,msg-param-months,room-id,sent-ts,style,subscriber,system-msg,tmi-sent-ts,turbo,user-id,user-type
46,#FF0000,,False,danmckrunkin,clintHi clintHi clintHi,clintstevens,1492400427688,30688,subscriber/3,,#FF0000,danmckrunkin,"{'110475': [[0, 6], [8, 14], [16, 22]]}",7eb120c7-41c7-49cc-94e2-b328dec8a4f8,,False,,,86268118,1492400442851,,True,,1492400442138,False,69066938,
47,#5F9EA0,,False,shirazrl,hey clint PogChamp /,clintstevens,1492400429013,32013,,,#5F9EA0,ShirazRL,"{'88': [[10, 17]]}",623ddd3a-becb-49bb-9d87-4f681c853da5,,False,,,86268118,1492400443446,,False,,1492400443453,False,67468924,
48,#AF14B8,,False,scyphoze,hellooo,clintstevens,1492400430847,33847,"subscriber/0,premium/1",,#AF14B8,Scyphoze,,0812da99-486e-4db6-a612-789119f138f5,,False,,,86268118,,,True,,1492400445242,False,127942599,
49,#FF69B4,,False,unbelievers_,clintYo clintYo,clintstevens,1492400432473,35473,"subscriber/6,bits/1000",,#FF69B4,unbelievers_,"{'146956': [[0, 6], [8, 14]]}",33df3ee7-8f68-46da-837c-21ca7e68d05c,,False,,,86268118,1492400446800,,True,,1492400446846,False,133992761,
50,#1E90FF,,False,alphador_,practice is for pussies,clintstevens,1492400433063,36063,premium/1,,#1E90FF,alphador_,,3d0724f0-2411-4703-bb74-7daedfbf98be,,False,,,86268118,1492400446123,,False,,1492400447469,False,139757133,
51,#00CC2C,,False,quacrunk,practice dampe,clintstevens,1492400433275,36275,"subscriber/3,premium/1",,#00CC2C,quacrunk,,9c96faaf-0d38-4098-bac0-27613f1ef784,,False,,,86268118,1492400447727,,True,,1492400447729,False,76030467,
52,#5F9EA0,,False,shirazrl,sounds good PogChamp,clintstevens,1492400435310,38310,,,#5F9EA0,ShirazRL,"{'88': [[12, 19]]}",e60fcac4-5b8e-408f-9ca0-bad0ebf5d0f8,,False,,,86268118,1492400449718,,False,,1492400449761,False,67468924,
53,#00CC2C,,False,quacrunk,u need it,clintstevens,1492400435399,38399,"subscriber/3,premium/1",,#00CC2C,quacrunk,,b2e810f4-b951-49eb-85ae-d558f0e7e374,,False,,,86268118,1492400449822,,True,,1492400449832,False,76030467,
54,#7A00CC,,False,scuffedruns,"@Clintstevens, did you make piss colored eggs with that girl? clintT",clintstevens,1492400435504,38504,"subscriber/3,bits/1000",,#7A00CC,ScuffedRuns,"{'147385': [[62, 67]]}",53484ad6-6aa6-4e49-a7e9-cbdb20ac6ae7,,False,,,86268118,1492400450958,,True,,1492400449920,False,56544921,
55,#8A2BE2,,False,curlyfrylol,We playing Overwatch later?,clintstevens,1492400435667,38667,"moderator/1,subscriber/0",,#8A2BE2,Curlyfrylol,,b3a34d59-f579-430a-8285-b893830e1954,,True,,,86268118,,,True,,1492400450119,False,76385938,mod
56,#CD9FFE,,False,xenoda,ay clint,clintstevens,1492400441350,44350,"moderator/1,subscriber/12,bits/100",,#CD9FFE,xenoda,,e6afbc02-4bd8-452a-ada1-b7ab59dc5f60,,True,,,86268118,1492400435559,,True,,1492400455798,False,53569589,mod
57,#1A3B51,,False,maxximinn,overwatch?,clintstevens,1492400441534,44534,,,#1A3B51,Maxximinn,,52d84886-3b54-4d9c-8438-6068b0fac602,,False,,,86268118,1492400453626,,False,,1492400455986,False,39563600,
58,,,False,wondl,we sure did,clintstevens,1492400441900,44900,bits/100,,,wondl,,14abf0c0-e464-4bd7-9bb5-813098ef60a8,,False,,,86268118,1492400456187,,False,,1492400456276,False,143565518,
59,#CD9FFE,,False,xenoda,u got this,clintstevens,1492400442475,45475,"moderator/1,subscriber/12,bits/100",,#CD9FFE,xenoda,,a8d65e09-b48a-480e-a99d-576fbaf71d46,,True,,,86268118,1492400436701,,True,,1492400456945,False,53569589,mod
60,#00CCCC,,False,madshyson,We ?,clintstevens,1492400443535,46535,premium/1,,#00CCCC,Madshyson,,aab6fed0-191e-4277-b53c-b480e44f9c8f,,False,,,86268118,1492400473795,,False,,1492400457990,False,100275798,
61,#E6C300,,False,chuckthegypsy,yeah curly,clintstevens,1492400444279,47279,"subscriber/12,premium/1",,#E6C300,ChuckTheGypsy,,418251fe-df0e-41a1-bcde-06ed31f5963c,,False,,,86268118,1492400457197,,True,,1492400458740,False,27862377,
62,,,False,vroomp,Who is we?,clintstevens,1492400444488,47488,,,,Vroomp,,24d89475-d94b-426b-ac69-22c2d99cfe11,,False,,,86268118,1492400458822,,False,,1492400458883,False,142481895,
63,#8A2BE2,,False,kindalur,ᶜᶫᶦᶰᵈ ˢᵗᵉᵇᵉᶰ,clintstevens,1492400444598,47598,,,#8A2BE2,kindalur,,6e6c52b4-a771-4b78-b1d8-806b68cc392f,,False,,,86268118,1492400458732,,False,,1492400459051,False,105436049,
64,,,False,kyletheginger_,aye what up clint,clintstevens,1492400444674,47674,"subscriber/0,premium/1",,,kyletheginger_,,2fb44285-a548-4086-b5a2-b4df6a6a8a53,,False,,,86268118,1492400459706,,True,,1492400459127,False,73456393,
65,#FF0000,,False,hurpyhooves,@unbelievers_ clintYo clintYo,clintstevens,1492400445996,48996,"subscriber/3,bits/1000",,#FF0000,HurpyHooves,"{'146956': [[14, 20], [22, 28]]}",7f9677cc-0f31-49ce-8504-21443592706e,,False,,,86268118,,,True,,1492400460440,False,39797784,
